"full_name","H","albedo","diameter_sigma","e","a","i"
"  4957 Brucemurray (1990 XJ)",15.05,0.132,0.10,0.2188,1.565,35.01
"  5011 Ptah (6743 P-L)",16.66,,,0.5002,1.636,7.41
"  5131 (1990 BG)",14.83,,,0.5689,1.486,36.45
"  5143 Heracles (1991 VL)",14.06,0.227,0.38,0.7712,1.835,8.98
"  5189 (1990 UQ)",17.84,,,0.4782,1.552,3.58
"  5324 Lyapunov (1987 SL)",15.35,,,0.6063,2.979,19.66
"  5332 Davidaguilar (1990 DA)",14.96,,,0.4556,2.163,25.52
"  5370 Taranis (1986 RA)",15.23,0.037,,0.6370,3.318,19.17
"  5381 Sekhmet (1991 JY)",16.72,0.507,0.04,0.2964,0.9474,48.97
"  5496 (1973 NA)",16.15,,,0.6342,2.437,68.02
"  5587 (1990 SB)",13.89,0.32,,0.5443,2.401,18.04
"  5590 (1990 VA)",19.91,,,0.2801,0.9863,14.18
"  5604 (1992 FE)",17.38,0.48,,0.4065,0.93,4.70
"  5620 Jasonwheeler (1990 OA)",17.09,,,0.4227,2.159,7.87
"  5626 Melissabrucker (1991 FE)",14.33,,,0.4545,2.195,3.85
"  5645 (1990 SP)",17.23,0.121,0.02,0.3873,1.355,13.51
"  5646 (1990 TR)",15.51,0.223,,0.4358,2.144,7.91
"  5653 Camarillo (1992 WD5)",16.22,0.271,0.02,0.3044,1.794,6.87
"  5660 (1974 MA)",15.38,,,0.7620,1.786,38.14
"  5693 (1993 EA)",16.78,,,0.5851,1.271,5.06
"  5731 Zeus (1988 VP4)",15.47,0.031,0.69,0.6524,2.265,11.20
"  5751 Zao (1992 AC)",14.94,0.36,,0.4253,2.101,16.07
"  5786 Talos (1991 RC)",17.15,,,0.8268,1.082,23.22
"  5797 Bivoj (1980 AA)",18.89,,,0.4443,1.894,4.19
"  5828 (1991 AM)",15.96,0.331,0.04,0.6949,1.698,30.18
"  5836 (1993 MF)",14.99,0.156,0.81,0.5383,2.439,7.93
"  5863 Tara (1983 RB)",15.84,0.488,0.50,0.5073,2.221,19.51
"  5869 Tanith (1988 VN4)",17.22,,,0.3214,1.812,17.92
"  5879 Almeria (1992 CH1)",17.61,,,0.2891,1.625,21.58
"  6037 (1988 EG)",18.86,,,0.4996,1.272,3.51
"  6047 (1991 TB1)",17.84,,,0.3521,1.455,23.47
"  6050 Miwablock (1992 AE)",14.94,0.257,0.07,0.4372,2.202,6.41
"  6053 (1993 BW3)",15.10,0.140,0.08,0.5284,2.147,21.58
"  6063 Jason (1984 KB)",16.02,0.21,,0.7625,2.22,4.96
"  6178 (1986 DA)",15.71,0.15,,0.5848,2.814,4.31
"  6239 Minos (1989 QF)",18.59,,,0.4125,1.151,3.94
"  6455 (1992 HE)",14.08,0.227,0.41,0.5729,2.24,37.34
"  6456 Golombek (1992 OM)",16.06,,,0.4088,2.193,8.22
"  6489 Golevka (1991 JX)",19.22,0.151,0.03,0.6188,2.477,2.26
"  6491 (1991 OA)",18.72,,,0.5921,2.504,6.15
"  6569 Ondaatje (1993 MO)",16.63,,,0.2207,1.626,22.64
"  6611 (1993 VW)",16.82,0.158,0.34,0.4845,1.696,8.70
"  7025 (1993 QA)",18.08,0.340,0.17,0.3150,1.476,12.61
"  7088 Ishtar (1992 AA)",16.84,0.260,0.26,0.3903,1.981,8.30
"  7092 Cadmus (1992 LC)",15.12,0.046,3.78,0.6937,2.545,17.79
"  7236 (1987 PA)",18.32,,,0.5637,2.722,16.69
"  7335 (1989 JA)",17.70,0.448,,0.4845,1.773,15.16
"  7336 Saunders (1989 RS1)",18.80,,,0.4820,2.306,7.20
"  7341 (1991 VK)",16.96,0.235,0.32,0.5061,1.842,5.41
"  7350 (1993 VA)",17.16,0.069,0.03,0.3912,1.356,7.26
"  7358 Oze (1995 YA3)",14.72,,,0.5024,2.198,4.66
"  7474 (1992 TC)",18.11,,,0.2921,1.566,7.09
"  7480 Norwan (1994 PC)",17.24,,,0.3169,1.568,9.45
"  7482 (1994 PC1)",16.58,0.277,0.30,0.3294,1.349,33.47
"  7753 (1988 XB)",18.01,,,0.4816,1.467,3.12
"  7822 (1991 CS)",17.34,0.075,0.01,0.1646,1.123,37.12
"  7839 (1994 ND)",17.83,0.181,0.01,0.5186,2.165,27.12
"  7888 (1993 UC)",15.19,0.257,0.73,0.6632,2.439,26.08
"  7889 (1994 LX)",15.24,0.452,0.07,0.3463,1.262,36.91
"  7977 (1977 QQ5)",15.15,,,0.4662,2.226,25.17
