"full_name","H","albedo","diameter_sigma","e","a","i"
"       (2009 FS32)",25.78,,,0.0638,1.052,14.44
"       (2009 FT32)",23.80,,,0.6293,2.643,8.62
"       (2009 FF44)",23.50,,,0.4830,2.341,1.88
"       (2009 FG44)",22.50,,,0.1141,0.9642,31.61
"       (2009 FH44)",22.70,,,0.3620,1.44,12.54
"       (2009 HC)",24.79,,,0.1257,1.035,3.73
"       (2009 HD)",22.92,,,0.5638,2.403,12.52
"       (2009 HE)",21.03,,,0.4004,1.3,44.39
"       (2009 HF)",22.70,,,0.4255,1.569,18.17
"       (2009 HG)",24.34,,,0.2226,1.365,3.64
"       (2009 HR2)",25.00,,,0.5487,1.638,10.23
"       (2009 HS2)",21.99,,,0.8236,2.511,15.63
"       (2009 HT2)",26.50,,,0.6064,2.683,8.66
"       (2009 HV2)",21.30,,,0.4997,1.641,6.72
"       (2009 HW2)",24.00,,,0.5183,2.187,2.88
"       (2009 HA21)",20.85,,,0.7291,1.461,6.41
"       (2009 HB21)",23.12,,,0.4204,1.733,39.62
"       (2009 HC21)",22.10,,,0.1570,1.168,19.35
"       (2009 HE21)",24.50,,,0.8552,2.399,6.47
"       (2009 HF21)",26.20,,,0.5698,2.339,4.27
"       (2009 HG21)",25.00,,,0.3679,0.9077,5.43
"       (2009 HH21)",26.90,,,0.2657,1.407,4.24
"       (2009 HJ21)",27.50,,,0.6476,1.634,3.13
"       (2009 HL21)",22.55,,,0.4447,1.664,1.01
"       (2009 HJ36)",27.90,,,0.3570,1.577,3.85
"       (2009 HS44)",26.50,,,0.7022,2.573,2.44
"       (2009 HU44)",22.60,,,0.6441,0.8303,6.64
"       (2009 HX51)",21.07,,,0.3854,1.505,12.40
"       (2009 HY51)",20.95,,,0.3062,1.71,13.62
"       (2009 HT58)",25.20,,,0.2116,1.345,17.89
"       (2009 HU58)",19.02,,,0.9090,2.066,35.85
"       (2009 HV58)",19.72,,,0.5842,1.984,46.97
"       (2009 HE60)",25.69,,,0.2645,0.9955,1.58
"       (2009 HG60)",22.85,,,0.6446,1.982,6.95
"       (2009 HV67)",20.40,,,0.6690,2.692,30.57
"       (2009 HW67)",26.10,,,0.7512,2.051,2.35
"       (2009 HX67)",20.75,,,0.4307,1.838,53.96
"       (2009 HY67)",21.98,,,0.4855,1.763,36.27
"       (2009 HZ67)",21.63,,,0.6028,1.993,11.91
"       (2009 HK73)",26.30,,,0.2826,1.245,5.63
"       (2009 HM73)",23.10,,,0.5122,2.398,6.42
"       (2009 HU77)",23.40,,,0.3334,1.693,23.11
"       (2009 HV77)",20.70,,,0.4519,1.898,2.91
"       (2009 HF82)",19.96,,,0.4459,1.567,43.30
"       (2009 HM82)",22.75,,,0.3025,1.273,20.40
"       (2009 JA)",25.50,,,0.3262,1.423,8.10
"       (2009 JR)",21.41,,,0.4895,1.73,8.40
"       (2009 JS)",25.70,,,0.3592,1.346,6.38
"       (2009 JE1)",26.91,,,0.2974,1.374,8.10
"       (2009 JF1)",27.73,,,0.7384,1.895,6.15
"       (2009 JG1)",20.81,,,0.3278,1.876,17.03
"       (2009 JM1)",23.20,,,0.4538,1.034,20.34
"       (2009 JG2)",22.60,,,0.6591,2.032,2.73
"       (2009 JL2)",26.00,,,0.4717,1.856,17.85
"       (2009 JM2)",19.35,,,0.6063,2.393,17.48
"       (2009 JQ2)",21.30,,,0.3245,1.548,36.19
"       (2009 JR2)",22.95,,,0.1790,1.25,19.73
"       (2009 KL)",23.81,,,0.5902,1.989,6.64
"       (2009 KM)",20.35,,,0.7888,2.414,9.35
"       (2009 KN)",20.74,,,0.6705,3.064,62.97
"       (2009 KY1)",23.84,,,0.1894,1.147,9.37
"       (2009 KV2)",19.93,,,0.3910,2.108,29.03
"       (2009 KW2)",26.60,,,0.2539,1.361,5.19
"       (2009 KD3)",21.40,,,0.6760,2.17,7.93
"       (2009 KE3)",18.31,,,0.7024,2.67,5.85
"       (2009 KO4)",24.40,,,0.5578,2.452,2.04
"       (2009 KQ4)",20.56,,,0.2627,1.529,6.49
"       (2009 KR4)",25.00,,,0.2395,0.8435,10.72
"       (2009 KT4)",21.80,,,0.2028,1.278,11.02
"       (2009 KC7)",19.48,,,0.5439,2.623,15.63
"       (2009 KL8)",24.30,,,0.4725,1.717,7.98
"       (2009 KR21)",26.70,,,0.5195,1.731,2.36
"       (2009 KV21)",24.63,,,0.5900,2.412,7.37
"       (2009 LA)",26.30,,,0.3107,1.245,12.51
"       (2009 LD)",26.20,,,0.1504,0.988,9.79
"       (2009 LE)",23.60,,,0.2352,1.306,21.28
"       (2009 LQ)",21.75,,,0.5904,1.536,5.34
"       (2009 LX)",19.34,,,0.6059,2.835,12.55
"       (2009 LQ1)",22.18,,,0.2166,1.428,1.21
"       (2009 LU2)",22.34,,,0.5104,1.414,10.31
"       (2009 LV2)",22.40,,,0.5964,1.51,26.10
"       (2009 LW2)",19.82,,,0.2595,1.206,33.15
"       (2009 MA)",21.55,,,0.4886,2.014,18.26
"       (2009 MD)",23.00,,,0.5285,2.332,10.46
"       (2009 MU)",24.56,,,0.6108,2.285,7.29
"       (2009 MW)",20.86,,,0.2993,0.9128,21.03
"       (2009 MX)",23.00,,,0.3152,1.642,20.22
"       (2009 MG1)",24.00,,,0.6254,2.003,6.80
"       (2009 ML1)",19.56,,,0.4351,2.154,3.24
"       (2009 MM1)",21.70,,,0.4992,2.377,8.84
"       (2009 MX6)",19.21,,,0.5621,2.151,9.02
"       (2009 MM8)",24.80,,,0.4352,1.84,3.10
"       (2009 MN8)",22.70,,,0.5445,2.223,3.56
"       (2009 MC9)",18.08,,,0.4656,2.199,9.09
"       (2009 ME9)",21.24,,,0.5010,0.9234,31.47
"       (2009 NL)",19.89,,,0.6831,2.822,13.77
"       (2009 OC)",20.24,,,0.4472,2.136,4.58
"       (2009 OF)",21.50,,,0.5992,2.352,9.38
"       (2009 OB3)",19.41,,,0.4406,2.247,26.40
"       (2009 OC3)",22.30,,,0.4727,2.052,1.56
"       (2009 OZ4)",19.36,,,0.6419,2.677,38.05
"       (2009 OS5)",24.40,,,0.0994,1.148,1.71
"       (2009 OX5)",19.70,,,0.4497,1.819,41.31
"       (2009 OW6)",25.40,,,0.4818,1.954,0.12
"       (2009 OY7)",24.77,,,0.2759,1.374,27.71
"       (2009 OZ7)",21.01,,,0.1828,1.513,21.12
"       (2009 OP9)",19.31,,,0.4757,2.02,13.41
"       (2009 PC)",23.16,,,0.3427,0.9956,7.09
"       (2009 PD)",24.20,,,0.1700,1.266,3.91
"       (2009 PH)",22.13,,,0.4463,2.197,3.77
"       (2009 PY)",21.12,,,0.2944,0.9452,26.56
"       (2009 PQ1)",22.55,,,0.4893,1.497,5.60
"       (2009 PR1)",24.60,,,0.3120,1.488,8.65
"       (2009 PU1)",22.40,,,0.1707,1.104,20.94
"       (2009 PT2)",23.50,,,0.4660,1.711,3.83
"       (2009 PA3)",25.30,,,0.4387,1.383,5.71
"       (2009 QC)",22.30,,,0.4828,2.11,6.85
"       (2009 QO)",20.05,,,0.4116,2.144,5.25
"       (2009 QR)",27.40,,,0.2481,1.297,3.59
"       (2009 QS)",22.00,,,0.5951,2.111,8.22
"       (2009 QT)",23.40,,,0.1994,1.333,12.52
"       (2009 QW1)",21.40,,,0.5433,2.692,18.77
"       (2009 QG2)",23.24,,,0.5725,2.334,3.07
"       (2009 QH2)",21.20,,,0.5045,2.333,4.74
"       (2009 QJ2)",23.50,,,0.4159,1.776,11.97
"       (2009 QL2)",20.90,,,0.5906,2.612,17.04
"       (2009 QM5)",22.50,,,0.4119,2.113,3.33
"       (2009 QN5)",19.38,,,0.8362,2.392,14.86
"       (2009 QH6)",22.50,,,0.1879,1.06,14.28
"       (2009 QJ6)",22.60,,,0.2313,1.386,29.45
"       (2009 QQ8)",21.32,,,0.2030,1.485,27.30
"       (2009 QR8)",21.80,,,0.4522,2.118,5.65
"       (2009 QJ9)",19.27,,,0.6204,2.718,19.27
"       (2009 QK9)",23.20,,,0.5409,1.832,14.24
"       (2009 QC23)",24.80,,,0.5194,2.097,3.97
"       (2009 QL32)",24.60,,,0.6037,2.03,5.80
"       (2009 QE34)",23.60,,,0.2320,1.289,2.63
"       (2009 QF34)",22.60,,,0.4364,2.15,1.86
"       (2009 QG34)",19.58,,,0.6506,2.753,22.16
"       (2009 QH34)",24.90,,,0.5599,2.291,3.07
"       (2009 QZ34)",22.58,,,0.4300,1.773,2.40
"       (2009 QA35)",22.43,,,0.5550,2.656,12.27
"       (2009 QC35)",25.40,,,0.5673,2.191,1.07
"       (2009 QC36)",22.21,,,0.3876,1.493,6.81
"       (2009 RH)",23.80,,,0.3062,1.246,3.57
"       (2009 RM)",18.22,,,0.5534,2.788,8.00
"       (2009 RN)",19.98,,,0.6185,2.828,3.41
"       (2009 RR)",25.50,,,0.4645,1.4,6.07
"       (2009 RD1)",20.50,,,0.5416,2.568,2.10
"       (2009 RT1)",23.70,,,0.1059,1.155,4.15
"       (2009 RU1)",24.20,,,0.3806,1.353,0.85
"       (2009 RV1)",21.90,,,0.6374,2.698,1.89
"       (2009 RG2)",25.70,,,0.3740,1.557,3.06
"       (2009 RH2)",21.40,,,0.4849,2.366,5.81
"       (2009 RY3)",24.60,,,0.4734,1.055,27.91
"       (2009 RZ3)",18.82,,,0.6747,2.211,52.67
"       (2009 RA4)",21.60,,,0.4492,2.267,6.20
"       (2009 RD4)",20.48,,,0.6046,2.718,22.57
"       (2009 RX4)",26.20,,,0.1897,1.317,14.65
"       (2009 SA)",24.40,,,0.4801,2.202,14.19
"       (2009 SB)",20.60,,,0.8009,2.213,5.45
"       (2009 SD)",25.54,,,0.5676,1.737,3.05
"       (2009 SF)",25.10,,,0.2930,1.539,30.43
"       (2009 SG)",19.56,,,0.5123,2.396,39.70
"       (2009 SH)",24.10,,,0.5650,2.462,18.90
"       (2009 SJ)",25.80,,,0.2650,1.236,10.17
"       (2009 SK)",25.10,,,0.6032,2.648,0.78
"       (2009 SL)",26.70,,,0.2585,1.349,19.66
"       (2009 SM)",19.47,,,0.3367,1.772,20.64
"       (2009 SN)",21.70,,,0.3219,1.428,26.47
"       (2009 SP)",19.40,0.119,0.10,0.4950,2.219,25.27
"       (2009 SQ)",19.05,,,0.8607,2.71,34.33
"       (2009 SS)",26.70,,,0.2012,0.9076,9.53
"       (2009 SU)",22.78,,,0.4986,2.298,9.00
"       (2009 SW)",22.10,,,0.4376,2.019,6.99
"       (2009 SY)",22.99,,,0.4409,1.251,14.68
"       (2009 SC1)",24.60,,,0.5023,1.747,7.57
"       (2009 SD1)",22.30,,,0.5070,1.724,32.10
"       (2009 SH1)",29.42,,,0.2447,1.196,3.30
"       (2009 SJ1)",26.00,,,0.3510,1.576,11.62
"       (2009 SL1)",24.39,,,0.4940,1.931,8.51
"       (2009 SM1)",25.00,,,0.5029,2.193,0.40
"       (2009 SN1)",25.70,,,0.4767,1.954,4.14
"       (2009 SW1)",23.70,,,0.5676,2.113,2.06
"       (2009 SE2)",23.01,,,0.5164,2.596,6.40
"       (2009 SF2)",20.80,,,0.4474,2.252,6.40
"       (2009 SH2)",24.90,,,0.0942,0.9912,6.81
"       (2009 SJ2)",23.70,,,0.5126,2.535,12.39
"       (2009 SL2)",22.30,,,0.2490,1.046,23.74
"       (2009 SB15)",20.60,,,0.6801,2.045,4.19
"       (2009 SD15)",26.90,,,0.6252,2.338,2.89
"       (2009 SH15)",24.50,,,0.4534,1.83,9.75
"       (2009 SJ15)",23.33,,,0.2553,1.379,18.38
"       (2009 SK15)",25.30,,,0.1018,1.125,16.24
"       (2009 SV17)",19.61,,,0.5850,2.707,3.44
"       (2009 SW17)",19.88,,,0.5982,2.013,8.40
"       (2009 SX17)",24.20,,,0.5407,2.338,1.40
"       (2009 SG18)",17.60,,,0.6737,3.039,57.83
"       (2009 SJ18)",24.60,,,0.1106,0.9451,12.57
"       (2009 SV19)",26.00,,,0.5290,2.206,5.24
"       (2009 SW19)",19.61,,,0.3277,1.263,62.90
"       (2009 SY63)",20.21,,,0.9407,19.72,0.79
"       (2009 SM98)",22.30,,,0.7006,2.432,7.50
"       (2009 SO98)",24.30,,,0.1886,1.22,18.46
"       (2009 SZ99)",19.32,,,0.2145,0.8148,21.33
"       (2009 SA100)",23.90,,,0.2864,1.145,3.82
"       (2009 SB100)",23.70,,,0.4389,1.881,6.72
"       (2009 SC100)",23.60,,,0.5870,2.502,13.90
"       (2009 SN103)",27.60,,,0.2653,1.299,3.59
"       (2009 SQ103)",25.00,,,0.5319,2.276,8.15
"       (2009 SR103)",25.20,,,0.3613,1.484,10.43
"       (2009 SS103)",22.50,,,0.2617,1.042,23.86
"       (2009 SK104)",19.51,,,0.6062,2.79,4.19
"       (2009 SL104)",23.40,,,0.4450,1.789,2.82
"       (2009 SM104)",23.60,,,0.3673,0.9814,9.67
"       (2009 SN104)",22.43,,,0.4747,2.187,8.80
"       (2009 SO104)",26.00,,,0.1766,1.295,21.25
"       (2009 SP104)",26.70,,,0.5326,1.09,4.75
"       (2009 SR104)",25.40,,,0.5497,2.152,13.07
"       (2009 SS104)",21.00,,,0.5109,2.611,16.43
"       (2009 ST104)",25.30,,,0.5679,1.946,8.38
"       (2009 SU104)",25.57,,,0.6971,2.481,1.13
"       (2009 SB170)",20.82,,,0.7424,1.345,29.73
"       (2009 SC170)",28.00,,,0.3027,1.417,3.37
"       (2009 SQ171)",25.70,,,0.2915,1.527,7.61
"       (2009 SR171)",26.00,,,0.2715,1.203,16.50
"       (2009 SS171)",24.80,,,0.3339,1.638,16.15
"       (2009 ST171)",26.80,,,0.6082,2.585,3.74
"       (2009 SU171)",23.61,,,0.4862,1.218,10.47
"       (2009 SV171)",19.66,,,0.5863,2.639,12.92
"       (2009 SW171)",26.10,,,0.2334,1.331,3.06
"       (2009 SQ172)",18.65,,,0.4989,2.576,28.31
"       (2009 SS172)",23.40,,,0.3581,1.57,15.10
"       (2009 TB)",29.20,,,0.6603,2.564,8.20
"       (2009 TJ)",22.70,,,0.5904,2.065,4.84
"       (2009 TP)",23.60,,,0.2240,1.029,0.79
"       (2009 TQ)",25.90,,,0.2359,1.256,12.89
"       (2009 TS)",25.50,,,0.4636,1.817,8.48
"       (2009 TT)",25.10,,,0.5685,2.334,11.42
"       (2009 TU)",27.30,,,0.5587,1.726,1.56
"       (2009 TA1)",20.10,,,0.6633,2.292,12.35
"       (2009 TJ4)",26.10,,,0.1249,1.09,9.23
"       (2009 TL4)",21.50,,,0.3876,1.854,6.48
"       (2009 TV4)",23.40,,,0.3697,1.69,7.59
"       (2009 TS7)",23.00,,,0.6144,2.249,4.53
"       (2009 TC8)",18.85,,,0.5240,2.024,14.95
"       (2009 TD8)",26.90,,,0.2453,0.8834,5.08
"       (2009 TF8)",26.50,,,0.4014,1.633,4.35
"       (2009 TH8)",24.90,,,0.5916,2.046,4.91
"       (2009 TK8)",20.17,,,0.3403,0.9294,21.16
"       (2009 TL8)",22.20,,,0.5609,2.454,4.11
"       (2009 TM8)",28.40,,,0.4061,1.552,2.47
"       (2009 TN8)",24.20,,,0.3266,1.538,13.43
"       (2009 TO8)",26.10,,,0.5400,2.033,4.69
"       (2009 TP8)",26.20,,,0.1751,1.283,13.48
"       (2009 TQ8)",24.30,,,0.4207,1.281,13.55
"       (2009 TE10)",18.80,,,0.2493,1.012,44.74
"       (2009 TF10)",22.18,,,0.3432,1.665,5.27
"       (2009 TM10)",19.50,,,0.4676,2.436,2.79
"       (2009 TK12)",20.70,,,0.5845,1.695,3.84
"       (2009 TD17)",27.70,,,0.2200,1.127,0.08
"       (2009 UA)",23.70,,,0.3769,1.705,4.20
"       (2009 UB)",25.50,,,0.2915,1.339,3.55
"       (2009 UC)",26.60,,,0.3474,0.7597,24.78
"       (2009 UD)",27.20,,,0.1216,1.039,4.41
"       (2009 UE)",25.37,,,0.5062,1.991,3.79
"       (2009 UF)",22.60,,,0.4241,1.754,28.90
"       (2009 UG)",23.50,,,0.3754,0.788,5.02
"       (2009 UJ)",26.10,,,0.6616,2.602,7.29
"       (2009 UL)",22.20,,,0.4225,1.254,14.05
"       (2009 UM)",21.05,,,0.3710,1.069,18.24
"       (2009 UN)",21.37,,,0.5881,2.837,2.36
"       (2009 UQ)",21.70,,,0.5349,1.785,14.51
"       (2009 UK1)",26.20,,,0.5685,2.193,0.57
"       (2009 UL1)",23.50,,,0.4314,1.352,33.52
"       (2009 UM1)",23.49,,,0.5960,0.9613,8.73
"       (2009 UN1)",25.30,,,0.5589,2.419,1.49
"       (2009 UO1)",24.49,,,0.4716,1.522,4.02
"       (2009 UU1)",24.70,,,0.3311,1.194,11.65
"       (2009 UD2)",22.20,,,0.3228,1.393,3.84
"       (2009 UE2)",20.43,,,0.4580,1.501,7.66
"       (2009 UF2)",24.40,,,0.6370,2.821,2.51
"       (2009 UW2)",20.10,,,0.5706,2.48,12.61
"       (2009 UO3)",23.00,,,0.5813,2.452,8.53
"       (2009 UJ5)",25.30,,,0.5861,2.419,8.06
"       (2009 UP5)",19.30,,,0.3470,1.814,33.88
"       (2009 UQ5)",24.20,,,0.4682,2.072,3.36
"       (2009 UR5)",25.70,,,0.3662,0.7731,6.57
"       (2009 UJ14)",20.51,,,0.6815,3.316,59.82
"       (2009 UK14)",25.50,,,0.4664,1.748,2.17
"       (2009 UY17)",20.92,,,0.3163,0.8186,42.06
"       (2009 UZ17)",22.40,,,0.6266,2.426,4.29
"       (2009 UB19)",23.30,,,0.4533,1.931,2.53
"       (2009 UC19)",25.20,,,0.2980,1.081,11.02
"       (2009 UD19)",24.00,,,0.4168,1.67,3.57
"       (2009 UE19)",20.49,,,0.5378,2.635,20.00
"       (2009 US19)",23.40,,,0.4716,1.75,10.11
"       (2009 UT19)",22.60,,,0.6612,0.8906,9.67
"       (2009 UU19)",24.80,,,0.2377,1.465,17.47
"       (2009 UV19)",24.80,,,0.4146,1.709,1.85
"       (2009 UW19)",23.20,,,0.4067,1.654,25.95
"       (2009 UX19)",18.89,,,0.8324,1.255,16.01
"       (2009 UY19)",23.43,0.063,0.00,0.0308,1.023,9.05
"       (2009 UZ19)",26.20,,,0.3800,1.628,5.26
"       (2009 UK20)",26.30,,,0.2072,1.053,2.84
"       (2009 UL20)",23.90,,,0.5524,2.465,2.05
"       (2009 UK28)",19.78,,,0.4089,2.178,27.44
"       (2009 UL28)",24.86,,,0.5334,2.028,2.87
"       (2009 UM28)",23.68,,,0.4312,1.888,8.77
"       (2009 US87)",22.01,,,0.2397,1.64,0.54
"       (2009 UT87)",22.90,,,0.5721,2.584,8.81
"       (2009 UU87)",25.50,,,0.3964,1.68,16.98
"       (2009 UV87)",24.80,,,0.5818,2.53,10.56
"       (2009 UW87)",28.00,,,0.5461,1.959,1.38
"       (2009 UX87)",25.30,,,0.1139,1.096,12.91
"       (2009 UY87)",19.48,,,0.6836,2.208,8.03
"       (2009 UZ87)",25.90,,,0.1886,0.9232,3.78
"       (2009 VA)",28.58,,,0.3574,1.428,7.54
"       (2009 VP)",22.70,,,0.3319,1.374,21.64
"       (2009 VQ)",26.30,,,0.5825,2.424,4.76
"       (2009 VR)",28.10,,,0.3973,1.575,5.10
"       (2009 VS)",24.90,,,0.3350,1.291,14.02
"       (2009 VT)",22.25,,,0.3995,1.37,3.40
"       (2009 VW)",21.75,,,0.5627,1.441,7.16
"       (2009 VX)",26.20,,,0.6658,2.522,6.47
"       (2009 VZ)",21.44,,,0.3253,1.413,12.31
"       (2009 VA1)",18.85,,,0.5743,2.442,34.76
"       (2009 VB1)",23.91,,,0.2982,1.589,30.81
"       (2009 VC1)",27.00,,,0.5153,1.819,4.16
"       (2009 VN1)",24.20,,,0.1799,1.009,23.72
"       (2009 VT1)",29.50,,,0.5017,1.979,0.27
"       (2009 VP9)",18.67,,,0.5378,2.731,12.03
"       (2009 VJ24)",22.10,,,0.4796,1.815,11.29
"       (2009 VK24)",24.10,,,0.4094,1.749,5.46
"       (2009 VL24)",24.40,,,0.5767,1.848,1.93
"       (2009 VM24)",26.73,,,0.2308,1.113,11.65
"       (2009 VQ25)",18.62,,,0.5306,1.73,62.04
"       (2009 VR25)",23.40,,,0.4522,1.493,4.01
"       (2009 VS25)",24.40,,,0.2817,0.9709,5.34
"       (2009 VY25)",19.66,,,0.4842,2.325,4.34
"       (2009 VZ25)",23.70,,,0.5876,2.846,2.17
"       (2009 VZ39)",28.07,,,0.3797,1.477,2.49
"       (2009 VP44)",25.90,,,0.5977,2.505,21.41
"       (2009 VQ44)",21.90,,,0.7265,1.345,29.80
"       (2009 VR44)",25.00,,,0.4798,1.843,7.35
"       (2009 VS44)",25.50,,,0.4221,1.583,9.80
"       (2009 WA)",21.19,0.217,0.03,0.1448,1.136,29.84
"       (2009 WB)",24.32,,,0.3918,1.66,12.41
"       (2009 WC)",27.70,,,0.3548,1.49,5.37
"       (2009 WD)",20.54,,,0.3141,1.833,41.21
"       (2009 WE)",22.30,,,0.3792,1.552,29.10
"       (2009 WJ1)",21.16,,,0.6785,2.455,0.62
"       (2009 WK1)",27.20,,,0.3673,1.602,3.28
"       (2009 WJ6)",27.40,,,0.6337,1.767,5.04
"       (2009 WK6)",19.29,,,0.6002,2.36,6.73
"       (2009 WL6)",20.50,,,0.5679,2.714,13.53
"       (2009 WM6)",23.80,,,0.3466,1.057,19.90
"       (2009 WN6)",24.70,,,0.3861,1.581,0.73
"       (2009 WP6)",26.80,,,0.7414,1.131,2.78
"       (2009 WQ6)",29.20,,,0.4087,0.8666,5.82
"       (2009 WX6)",23.90,,,0.5426,1.761,1.40
"       (2009 WD7)",25.70,,,0.5932,2.415,1.07
"       (2009 WG7)",26.60,,,0.2540,1.241,3.35
"       (2009 WV7)",25.90,,,0.3155,1.463,3.65
"       (2009 WW7)",28.90,,,0.2620,1.091,2.53
"       (2009 WX7)",26.90,,,0.4582,1.811,2.92
"       (2009 WY7)",24.10,,,0.6087,0.6498,4.03
"       (2009 WZ7)",19.80,,,0.6890,1.937,20.67
"       (2009 WM8)",24.80,,,0.4422,1.815,14.02
"       (2009 WN8)",25.20,,,0.3577,0.8483,12.75
"       (2009 WO8)",27.20,,,0.3499,1.553,8.25
"       (2009 WB11)",25.40,,,0.4711,1.724,3.93
"       (2009 WC11)",22.10,,,0.4948,2.401,2.33
"       (2009 WD11)",21.99,,,0.4082,1.066,11.65
"       (2009 WN25)",18.40,,,0.6334,3.332,71.20
"       (2009 WP25)",19.80,,,0.7729,1.398,27.50
"       (2009 WQ25)",24.04,,,0.7194,2.487,4.46
"       (2009 WR25)",21.58,,,0.4811,0.8675,31.72
"       (2009 WS25)",25.10,,,0.1524,1.197,14.78
"       (2009 WT25)",23.10,,,0.4614,2.263,5.43
"       (2009 WU25)",25.00,,,0.6016,2.42,5.41
"       (2009 WV25)",24.00,,,0.4269,1.401,0.41
"       (2009 WW25)",20.83,,,0.4526,1.977,1.48
"       (2009 WV51)",27.10,,,0.4325,1.166,8.45
"       (2009 WY51)",21.80,,,0.7114,2.618,11.81
"       (2009 WZ51)",25.40,,,0.5777,2.367,8.93
"       (2009 WA52)",26.30,,,0.4753,1.801,1.79
"       (2009 WB52)",25.70,,,0.3730,1.699,11.98
"       (2009 WD52)",24.90,,,0.2258,1.314,30.21
"       (2009 WQ52)",28.10,,,0.6606,2.574,5.78
"       (2009 WR52)",28.30,,,0.1549,1.034,4.24
"       (2009 WS52)",23.50,,,0.3956,1.775,27.96
"       (2009 WZ53)",24.20,,,0.2419,1.137,32.69
"       (2009 WA54)",26.80,,,0.3808,1.577,6.90
"       (2009 WB54)",26.40,,,0.3572,1.37,18.94
"       (2009 WC54)",24.31,,,0.2315,0.9019,17.94
"       (2009 WD54)",28.50,,,0.2957,0.8179,3.02
"       (2009 WF54)",25.80,,,0.3079,1.438,3.28
"       (2009 WG104)",20.20,,,0.3053,1.686,15.71
"       (2009 WH104)",21.10,,,0.5536,2.581,16.51
"       (2009 WW104)",22.50,,,0.4621,1.527,7.06
"       (2009 WX104)",26.00,,,0.4474,1.713,17.55
"       (2009 WY104)",25.00,,,0.2234,0.9955,26.80
"       (2009 WA105)",24.00,,,0.5908,2.54,7.95
"       (2009 WB105)",23.50,,,0.2525,0.8255,38.40
"       (2009 WM105)",23.00,,,0.1567,0.9,9.24
"       (2009 WN105)",22.40,,,0.5471,2.615,13.59
"       (2009 WC106)",25.50,,,0.1782,1.083,5.35
"       (2009 WE106)",27.20,,,0.5026,1.971,4.39
"       (2009 WG106)",25.50,,,0.3132,1.415,2.40
"       (2009 WH106)",22.60,,,0.6202,2.488,2.91
"       (2009 WJ106)",25.50,,,0.6450,1.368,1.12
"       (2009 WK106)",22.40,,,0.4016,1.801,24.49
"       (2009 WN106)",24.80,,,0.3158,1.473,11.41
"       (2009 WP106)",25.20,,,0.2776,1.395,9.86
"       (2009 WQ106)",24.50,,,0.1827,1.306,23.29
"       (2009 WM139)",18.81,,,0.5022,2.39,20.79
"       (2009 WE253)",17.93,,,0.5501,2.592,11.94
"       (2009 XD)",18.78,0.154,0.02,0.6732,2.451,31.45
"       (2009 XV)",21.00,,,0.6872,2.568,3.34
"       (2009 XQ1)",22.33,,,0.2969,1.079,17.78
"       (2009 XR1)",29.20,,,0.4074,1.629,0.47
"       (2009 XV1)",22.38,,,0.6623,1.718,19.55
"       (2009 XA2)",23.20,,,0.4584,1.573,26.63
"       (2009 XB2)",20.46,,,0.3447,1.673,11.94
"       (2009 XO2)",23.50,,,0.4882,1.935,12.62
"       (2009 XP2)",25.20,,,0.1986,1.215,9.25
"       (2009 XQ2)",25.20,,,0.5659,1.169,6.76
"       (2009 XT6)",20.36,,,0.7674,2.18,5.74
"       (2009 XZ6)",26.20,,,0.2017,1.222,6.47
"       (2009 XP7)",24.00,,,0.3874,1.671,12.14
"       (2009 XH8)",23.20,,,0.4783,2.067,4.92
"       (2009 XK8)",25.10,,,0.6158,2.489,2.77
"       (2009 XL8)",22.60,,,0.4801,1.239,13.69
"       (2009 YA)",24.80,,,0.5772,2.359,28.16
"       (2009 YF)",24.70,,,0.1215,0.9352,1.53
"       (2009 YP)",24.00,,,0.4247,0.8198,10.00
"       (2009 YQ)",20.46,,,0.7065,1.998,8.51
"       (2009 YR)",28.00,,,0.1101,0.9419,0.70
"       (2009 YS)",25.30,,,0.1798,1.193,6.75
"       (2009 YT6)",21.18,,,0.4909,1.662,22.13
"       (2009 YU6)",21.40,,,0.6304,2.453,12.17
"       (2009 YV6)",20.86,,,0.2573,1.448,13.93
"       (2010 AF)",25.00,,,0.2978,0.9621,23.60
"       (2010 AJ)",20.16,,,0.6028,2.836,1.33
"       (2010 AL)",22.60,,,0.3975,1.748,9.44
"       (2010 AR1)",25.80,,,0.3711,1.526,0.56
"       (2010 AK2)",19.00,,,0.7128,2.149,45.25
"       (2010 AL2)",26.70,,,0.4316,1.757,7.53
"       (2010 AM2)",23.70,,,0.5178,1.468,1.28
"       (2010 AN2)",22.19,0.155,0.01,0.4993,1.679,8.47
"       (2010 AO2)",22.42,,,0.3380,1.012,19.58
"       (2010 AB3)",23.30,,,0.6122,2.697,2.25
"       (2010 AC3)",22.50,,,0.3571,1.722,23.95
"       (2010 AD3)",24.00,,,0.6319,2.956,4.48
"       (2010 AE3)",23.70,,,0.5585,1.882,10.30
"       (2010 AF3)",26.12,,,0.1236,1.016,11.82
"       (2010 AG3)",27.50,,,0.2812,1.372,2.45
"       (2010 AH3)",26.30,,,0.4248,1.661,2.00
"       (2010 AJ3)",24.50,,,0.3070,1.226,16.93
"       (2010 AE30)",23.60,0.259,0.01,0.4168,1.268,5.97
"       (2010 AF30)",21.73,,,0.3717,1.325,3.06
"       (2010 AG30)",27.10,,,0.6947,2.261,2.09
"       (2010 AJ30)",22.70,0.120,0.02,0.3024,0.8113,7.57
