id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,close_approach_date,relative_velocity_km_per_s,miss_distance_km,orbiting_body
54553659,(2025 UG1),26.76,0.0118182991,0.0264265201,False,2025-10-02,3.9071709684,977009.297654906,Earth
54555161,(2025 UM9),21.027,0.1656360925,0.3703735624,False,2025-10-02,23.6761028854,25767450.590961604,Earth
2247517,247517 (2002 QY6),19.62,0.3166321257,0.708010957,False,2025-10-05,18.293311814,20515574.38775115,Earth
2319988,319988 (2007 DK),19.43,0.3455850738,0.7727517171,False,2025-10-05,14.2822501821,19650679.852427127,Earth
3092506,(2001 WJ4),27.4,0.0088014652,0.0196806745,False,2025-10-05,18.2830043948,74084958.191803626,Earth
3746623,(2016 EF156),24.7,0.0305179233,0.0682401509,False,2025-10-05,17.7913534994,51388712.782018591,Earth
3830865,(2018 SP1),23.2,0.0608912622,0.1361570015,False,2025-10-05,16.3815880517,5041878.896307943,Earth
54051291,(2020 QW2),20.6,0.2016299194,0.4508582062,False,2025-10-05,21.5787552506,42875160.292871659,Earth
54296533,(2022 QE1),28.33,0.0057352846,0.0128244863,False,2025-10-05,9.2772720654,25006707.080077523,Earth
54547735,(2025 SY10),26.16,0.0155795524,0.0348369383,False,2025-10-05,11.4006049777,6006932.706187124,Earth
54549113,(2025 SJ22),25.4,0.022108281,0.0494356193,False,2025-10-05,8.4257540797,4276571.947278873,Earth
54550507,(2025 TO),28.05,0.0065246163,0.0145894856,False,2025-10-05,6.9331467271,1262890.55794874,Earth
54549130,(2025 SO27),27.38,0.0088829042,0.0198627775,False,2025-10-05,6.4809213857,3948289.45958095,Earth
54550502,(2025 TL),23.44,0.0545198907,0.1219101818,False,2025-10-05,17.9864139723,4436505.564036747,Earth
54549110,(2025 SN21),26.71,0.0120935826,0.0270420729,False,2025-10-05,8.3265248186,2845905.223915805,Earth
54551099,(2025 TO2),26.42,0.0138214936,0.0309057992,False,2025-10-05,6.2695528436,1410679.610182996,Earth
54552822,(2025 TW5),25.63,0.0198863453,0.04446722,False,2025-10-05,10.2388961026,4642910.502488013,Earth
54553925,(2025 UM2),23.62,0.0501828101,0.1122121746,False,2025-10-05,14.0617366984,20470069.767493698,Earth
54553931,(2025 US2),25.17,0.0245784775,0.0549591464,False,2025-10-05,14.5654392464,11039113.75601466,Earth
