full_name,H,albedo,diameter_sigma,e,a,i,id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,close_approach_date,relative_velocity_km_per_s,miss_distance_km,orbiting_body
887 alinda a918 aa,13.81,0.31,,0.5712,2.474,9.4,2000887,887 alinda a918 aa,13.81,4.5978518828,10.2811093604,False,2025-01-08,8.2486988645,12296605.087478507,Earth
4034 vishnu 1986 pa,18.49,0.52,,0.444,1.059,11.17,2004034,4034 vishnu 1986 pa,18.49,0.5327886649,1.1913516723,True,2025-04-01,11.9802250041,23450596.738322098,Earth
6239 minos 1989 qf,18.59,,,0.4125,1.151,3.94,2006239,6239 minos 1989 qf,18.6,0.5064714588,1.1325046106,True,2025-02-05,10.1763046198,14819302.572401252,Earth
9058 1992 jb,17.81,,,0.3597,1.557,16.09,2009058,9058 1992 jb,17.81,0.7287104149,1.6294460236,False,2025-04-21,11.6691798166,15290773.603836255,Earth
65733 1993 pc,18.37,,,0.4744,1.154,4.14,2065733,65733 1993 pc,18.37,0.5630603897,1.2590413069,False,2025-05-23,9.8223143964,25254946.284965362,Earth
66008 1998 qh2,15.93,0.319,0.28,0.3627,1.426,61.01,2066008,66008 1998 qh2,15.93,1.7320282714,3.8729329538,False,2025-03-09,34.0797637633,11613384.883284358,Earth
85953 1999 fk21,18.09,0.32,,0.703,0.7389,12.6,2085953,85953 1999 fk21,18.09,0.6405528629,1.4323197447,False,2025-04-08,18.9880538419,12078251.946667787,Earth
101955 bennu 1999 rq36,20.21,0.044,0.0,0.2037,1.126,6.03,2101955,101955 bennu 1999 rq36,20.21,0.2412986969,0.5395602892,True,2025-02-25,16.8962992971,58574507.31152992,Earth
136818 selqet 1997 mw1,18.98,,,0.3463,0.9375,12.78,2136818,136818 selqet 1997 mw1,18.98,0.425162524,0.9506923052,False,2025-05-25,23.5482882501,68931132.41189452,Earth
137126 1999 cf9,18.06,,,0.6008,1.77,5.54,2137126,137126 1999 cf9,18.06,0.6494638409,1.4522452972,True,2025-03-08,18.6063390163,7902730.593013318,Earth
138258 2000 gd2,18.98,,,0.4767,0.7578,32.14,2138258,138258 2000 gd2,18.98,0.425162524,0.9506923052,False,2025-03-21,27.8620875196,64256255.85150469,Earth
141078 2001 xq30,18.67,,,0.4509,1.863,11.47,2141078,141078 2001 xq30,18.67,0.4904050984,1.0965791366,False,2025-03-18,6.6943559001,29107278.838717114,Earth
141531 2002 gb,19.15,0.482,0.01,0.529,0.9921,22.55,2141531,141531 2002 gb,19.15,0.3931470096,0.8791034386,False,2025-05-29,14.8381091952,71899686.0479213,Earth
152754 1999 gs6,19.22,0.216,0.08,0.4974,1.191,2.02,2152754,152754 1999 gs6,19.22,0.3806755436,0.8512163929,True,2025-03-25,11.3800144723,18287995.57727836,Earth
154276 2002 sy50,17.61,0.143,0.35,0.6889,1.705,8.74,2154276,154276 2002 sy50,17.61,0.7990150812,1.7866520367,True,2025-05-15,22.9393969732,10540965.594653184,Earth
155110 2005 tb,17.45,0.379,0.03,0.3485,1.261,30.38,2155110,155110 2005 tb,17.45,0.8601119401,1.9232687664,False,2025-04-29,19.6263157705,17545847.27611251,Earth
162080 1998 dg16,19.95,0.035,0.06,0.3582,0.8967,16.21,2162080,162080 1998 dg16,19.95,0.2719912773,0.6081909854,False,2025-01-23,22.6291370094,66900613.07117537,Earth
223456 2003 ub10,18.29,,,0.3354,1.599,5.15,2223456,223456 2003 ub10,18.29,0.5841911542,1.3062911326,False,2025-04-23,7.6402433621,26648300.157995164,Earth
226514 2003 ux34,20.16,,,0.6158,1.095,2.56,2226514,226514 2003 ux34,20.16,0.2469192656,0.5521282628,True,2025-01-07,16.5489937942,18491518.45292493,Earth
265196 2004 bw58,18.83,0.31,0.13,0.3783,1.454,15.22,2265196,265196 2004 bw58,18.83,0.4555698523,1.0186851583,True,2025-01-22,10.4985312457,10773851.9441376,Earth
303450 2005 by2,20.51,0.317,0.05,0.3307,1.269,7.29,2303450,303450 2005 by2,20.51,0.2101623793,0.4699373665,True,2025-03-18,7.250232849,25586138.42131521,Earth
322756 2001 ck32,19.23,,,0.3827,0.7243,8.14,2322756,322756 2001 ck32,19.23,0.3789264984,0.8473054089,False,2025-02-16,22.114256769,63055129.06303286,Earth
325102 2008 ey5,20.17,0.124,0.01,0.6268,0.6262,5.11,2325102,325102 2008 ey5,20.17,0.2457847746,0.5495914639,False,2025-03-16,30.1770124086,69739452.48849533,Earth
326290 akhenaten 1998 he3,21.83,,,0.4401,0.8791,3.38,2326290,326290 akhenaten 1998 he3,21.83,0.1144339731,0.2558821427,True,2025-02-03,16.1458794157,18470361.050567634,Earth
341843 2008 ev5,20.05,0.137,0.05,0.0828,0.9598,7.45,2341843,341843 2008 ev5,20.05,0.2597496533,0.580817882,True,2025-04-27,7.4511220223,26121615.4998212,Earth
351545 2005 te15,19.81,,,0.3435,1.204,13.13,2351545,351545 2005 te15,19.82,0.2887719308,0.6457136672,False,2025-03-09,16.6102608041,26530689.91790983,Earth
358453 2007 eh88,19.83,,,0.4413,1.123,12.08,2358453,358453 2007 eh88,19.83,0.2874451443,0.6427468824,False,2025-04-29,15.3121258309,20314021.386937167,Earth
387733 2003 gs,18.93,0.411,0.01,0.2186,0.8928,12.03,2387733,387733 2003 gs,18.93,0.4350658314,0.9728367737,False,2025-05-06,9.1715507702,23782605.783760656,Earth
387746 2003 mh4,20.13,0.132,0.01,0.5131,1.963,3.91,2387746,387746 2003 mh4,20.13,0.2503542548,0.5598091321,True,2025-05-24,8.3499414487,6676622.037356153,Earth
390725 2003 hb,19.69,0.271,0.05,0.3803,0.8497,18.12,2390725,390725 2003 hb,19.69,0.3065878759,0.6855513317,True,2025-05-25,13.4664383423,7028371.090213117,Earth
414800 2010 sv3,20.7,,,0.5156,1.513,6.18,2414800,414800 2010 sv3,20.7,0.1925550782,0.4305662442,False,2025-03-31,11.3561214687,23602490.786028728,Earth
434500 2005 sb71,21.2,,,0.2573,1.264,13.21,2434500,434500 2005 sb71,21.2,0.1529519353,0.3420109247,False,2025-04-26,20.753550208,70862359.32291621,Earth
434633 2005 wb1,20.71,0.039,0.11,0.3553,1.264,22.88,2434633,434633 2005 wb1,20.71,0.191670368,0.428587972,True,2025-05-25,16.2834686212,8709359.899527611,Earth
436030 2009 jo2,19.43,0.296,0.04,0.4784,0.8883,19.62,2436030,436030 2009 jo2,19.43,0.3455850738,0.7727517171,False,2025-04-20,16.3012879468,8490508.98676425,Earth
438017 2003 yo3,18.54,,,0.3661,1.45,24.61,2438017,438017 2003 yo3,18.54,0.5206609142,1.1642331974,False,2025-01-07,15.2767515283,12136326.303555183,Earth
439437 2013 nk4,18.93,,,0.5499,1.023,6.55,2439437,439437 2013 nk4,18.93,0.4350658314,0.9728367737,True,2025-04-23,22.5641455949,28314051.242426984,Earth
451003 2008 ud1,19.49,,,0.4636,1.715,6.48,2451003,451003 2008 ud1,19.49,0.3361669212,0.7516920875,False,2025-01-08,14.1497502192,26800560.540965848,Earth
455176 1999 vf22,20.71,,,0.7387,1.313,3.92,2455176,455176 1999 vf22,20.71,0.191670368,0.428587972,True,2025-02-24,23.61028202,10466234.711724248,Earth
458452 2011 br15,19.77,,,0.2769,0.8735,10.23,2458452,458452 2011 br15,19.77,0.2954982931,0.6607542706,False,2025-02-15,23.4502826952,73541062.29868616,Earth
459462 2013 ay52,19.9,,,0.4743,1.314,18.35,2459462,459462 2013 ay52,19.9,0.2783267681,0.6223575734,False,2025-01-02,17.4222331434,15830336.604086189,Earth
462238 2008 cn1,20.66,0.197,0.0,0.3478,0.7706,7.22,2462238,462238 2008 cn1,20.66,0.1961349444,0.4385710684,True,2025-03-20,18.3555186205,49188925.87487994,Earth
462959 2011 du,21.08,,,0.3179,1.172,2.92,2462959,462959 2011 du,21.08,0.1616422833,0.3614431336,True,2025-04-25,9.4841474727,4930682.81449673,Earth
465402 2008 hw1,17.39,,,0.96,2.586,10.47,2465402,465402 2008 hw1,17.39,0.8842090927,1.9771516375,False,2025-03-03,38.7813818691,16114897.603338124,Earth
468468 2004 kh17,22.01,0.072,0.01,0.4981,0.7122,22.13,2468468,468468 2004 kh17,22.01,0.1053307015,0.2355266087,True,2025-05-27,12.907211181,24037264.068692543,Earth
469219 kamo`oalewa 2016 ho3,24.31,,,0.1024,1.001,7.8,2469219,469219 kamo`oalewa 2016 ho3,24.31,0.0365220357,0.0816657545,False,2025-03-13,3.2376323215,25631367.66181357,Earth
469494 2002 xs40,20.09,0.028,0.03,0.3382,1.498,11.63,2469494,469494 2002 xs40,20.09,0.2550086879,0.5702167609,False,2025-05-18,10.2184879709,28876568.046176743,Earth
474163 1999 so5,20.81,,,0.0645,1.085,13.37,2474163,474163 1999 so5,20.81,0.1830437804,0.4092983358,True,2025-04-03,7.4737596878,10390262.0617558,Earth
478784 2012 uv136,25.6,,,0.1397,1.009,2.1,2478784,478784 2012 uv136,25.6,0.0201629919,0.0450858206,False,2025-06-02,13.7531262564,50442662.030530624,Earth
481442 2006 wo3,21.58,,,0.4475,0.7997,21.21,2481442,481442 2006 wo3,21.58,0.1283970296,0.2871044863,False,2025-01-07,21.6488761177,58239736.59965244,Earth
483656 2005 es70,23.77,,,0.3863,0.7633,20.81,2483656,483656 2005 es70,23.77,0.0468333233,0.1047224945,False,2025-03-14,12.0535175001,8465703.760025302,Earth
494658 2000 ug11,20.71,,,0.5718,1.929,8.91,2494658,494658 2000 ug11,20.71,0.191670368,0.428587972,True,2025-03-12,15.6420094725,23201645.776688367,Earth
494710 2005 mo13,20.75,,,0.4108,0.8635,6.32,2494710,494710 2005 mo13,20.75,0.1881719895,0.42076536,True,2025-04-27,8.3719956775,27635739.523864977,Earth
497113 2004 ek1,22.29,,,0.2507,1.25,11.64,2497113,497113 2004 ek1,22.29,0.0925880583,0.2070331923,False,2025-01-10,6.2743345001,29822591.16693813,Earth
506491 2003 uw29,20.69,,,0.8385,1.17,3.75,2506491,506491 2003 uw29,20.69,0.193443872,0.4325536477,True,2025-01-14,26.9373528737,17371524.962223362,Earth
512245 2016 au8,19.91,,,0.2003,0.982,9.18,2512245,512245 2016 au8,19.91,0.2770479727,0.6194981001,False,2025-04-11,18.8756961828,66368739.341604285,Earth
513312 2007 dm41,22.06,,,0.5277,1.181,2.26,2513312,513312 2007 dm41,22.06,0.102933082,0.2301653685,True,2025-03-04,21.681828484,22911213.898787007,Earth
523809 2007 tv18,23.77,,,0.3484,1.239,0.93,2523809,523809 2007 tv18,23.77,0.0468333233,0.1047224945,False,2025-05-11,7.2128686404,20693899.312330443,Earth
523950 1998 sz27,20.17,,,0.5067,0.9051,23.64,2523950,523950 1998 sz27,20.17,0.2457847746,0.5495914639,True,2025-03-01,23.2810457639,69970734.14650762,Earth
524471 2002 jw15,20.36,,,0.2663,0.899,11.76,2524471,524471 2002 jw15,20.36,0.2251930467,0.5035469604,False,2025-05-20,8.0696755439,17390907.430732466,Earth
527977 2008 ey68,22.3,,,0.76,0.7451,19.79,2527977,527977 2008 ey68,22.3,0.0921626549,0.2060819612,False,2025-04-12,37.1933325994,74405925.65781407,Earth
535844 2015 by310,21.89,,,0.401,1.587,4.75,2535844,535844 2015 by310,21.89,0.1113153296,0.2489086439,True,2025-03-05,7.8605001934,3672622.158419023,Earth
539856 2017 ev2,20.92,,,0.5575,1.01,16.5,2539856,539856 2017 ev2,20.92,0.1740022951,0.38908096,False,2025-03-05,22.0264590416,25973553.999946095,Earth
612356 2002 jx8,19.99,,,0.305,0.7703,4.38,2612356,612356 2002 jx8,19.99,0.2670268771,0.5970902489,True,2025-05-09,5.1376950261,4206653.328632096,Earth
612472 2002 sq,19.84,,,0.3826,1.421,16.82,2612472,612472 2002 sq,19.84,0.2861244538,0.6397937287,False,2025-02-24,10.595003138,29332071.31512348,Earth
613726 2007 ef,21.34,0.072,0.01,0.4101,0.8203,21.73,2613726,613726 2007 ef,21.34,0.1434019235,0.320656449,True,2025-05-21,19.5225691203,67751425.9440365,Earth
618350 2021 ps2,19.89,,,0.4738,1.555,7.92,2618350,618350 2021 ps2,19.9,0.2783267681,0.6223575734,True,2025-03-22,11.4864419131,10126358.20958388,Earth
620061 2006 ub64,20.7,,,0.7021,2.098,9.58,2620061,620061 2006 ub64,20.7,0.1925550782,0.4305662442,False,2025-05-18,32.8200323676,70481605.57679303,Earth
784199 2015 aq45,21.42,,,0.3209,1.579,4.29,2784199,784199 2015 aq45,21.42,0.1382149359,0.3090579921,False,2025-04-13,5.7135206406,22671461.20154682,Earth
786479 2015 yu7,21.38,,,0.4127,0.8194,7.19,2786479,786479 2015 yu7,21.38,0.1407845434,0.3148038092,True,2025-02-16,9.0574227367,24420557.133940477,Earth
790064 2018 lm4,18.71,,,0.2012,1.018,32.24,2790064,790064 2018 lm4,18.71,0.4814541966,1.0765643117,False,2025-01-31,18.2459646016,16203071.036709735,Earth
791983 2020 qp6,20.7,,,0.2336,1.203,17.47,2791983,791983 2020 qp6,20.7,0.1925550782,0.4305662442,False,2025-03-29,10.0308513759,18198381.48649908,Earth
794904 2007 sq6,22.3,,,0.1465,1.044,9.06,2794904,794904 2007 sq6,22.3,0.0921626549,0.2060819612,False,2025-04-05,6.5763441566,4192063.871159281,Earth
796120 2009 em1,23.0,,,0.5544,2.529,18.0,2796120,796120 2009 em1,23.0,0.0667659413,0.1492931834,False,2025-03-12,11.2808376499,20877692.173696324,Earth
797455 2011 hj7,22.32,,,0.5162,1.251,1.12,2797455,797455 2011 hj7,22.32,0.0913177026,0.2041925905,False,2025-05-12,15.7792302946,2513733.520713196,Earth
798099 2012 dv32,21.79,,,0.2351,1.511,13.9,2798099,798099 2012 dv32,21.79,0.1165614595,0.2606393469,False,2025-02-20,7.3016816579,29453387.214127008,Earth
803401 2015 ns13,19.98,,,0.4189,1.487,15.22,2803401,803401 2015 ns13,19.98,0.2682594171,0.5998462923,False,2025-01-14,11.5485581636,12016268.432879632,Earth
804325 2015 xf352,21.38,,,0.4968,1.253,3.95,2804325,804325 2015 xf352,21.38,0.1407845434,0.3148038092,False,2025-04-26,15.3184115285,10433838.141072148,Earth
805737 2016 gw216,22.64,,,0.1621,1.306,9.04,2805737,805737 2016 gw216,22.64,0.0788052183,0.1762138252,False,2025-04-28,4.732970331,20027367.199328404,Earth
806899 2017 bo31,19.76,,,0.7757,2.543,6.65,2806899,806899 2017 bo31,19.76,0.2968622513,0.6638041738,False,2025-01-27,22.0738818056,16873153.900035586,Earth
811221 2022 fr3,22.58,,,0.5161,2.083,5.26,2811221,811221 2022 fr3,22.58,0.0810130488,0.1811506842,False,2025-04-01,7.43634567,2532351.15515214,Earth
813899 2007 vd12,19.91,,,0.3649,1.146,22.86,2813899,813899 2007 vd12,19.91,0.2770479727,0.6194981001,True,2025-05-30,17.7896582009,14394302.802820493,Earth
819229 2014 gl49,20.87,,,0.5216,1.24,4.76,2819229,819229 2014 gl49,20.87,0.1780553292,0.3981438198,False,2025-04-26,17.845106292,14547385.480403207,Earth
825328 2017 xn61,22.41,,,0.0793,1.239,5.43,2825328,825328 2017 xn61,22.41,0.0876102615,0.1959025002,False,2025-05-09,2.5422802644,26442634.098383613,Earth
826914 1996 fq3,20.8,,,0.4698,2.031,1.07,2826914,826914 1996 fq3,20.8,0.1838886721,0.411187571,False,2025-04-18,8.259882968,21878260.832069032,Earth
827121 2000 jz8,21.41,,,0.2315,1.473,14.16,2827121,827121 2000 jz8,21.41,0.138852907,0.310484539,False,2025-04-28,7.5938051399,20147965.4175104,Earth
837610 2013 re6,21.44,,,0.2,1.06,10.43,2837610,837610 2013 re6,21.49,0.1338304618,0.2992540101,False,2025-02-09,7.0114757572,25859983.111787785,Earth
842527 2015 wa1,21.75,,,0.296,1.187,10.9,2842527,842527 2015 wa1,21.75,0.1187284988,0.2654849942,False,2025-05-11,9.2601446547,20013126.54424928,Earth
847344 2023 ca4,22.11,,,0.4727,1.596,11.44,2847344,847344 2023 ca4,22.11,0.100590039,0.2249261651,False,2025-01-18,11.8236524493,17310120.84098572,Earth
1994 gl,25.5,,,0.5039,0.6834,3.68,3092124,1994 gl,25.5,0.0211132445,0.0472106499,False,2025-03-23,22.1706530604,52987376.3725336,Earth
1996 bg1,23.72,,,0.2802,0.8966,3.83,3092144,1996 bg1,23.72,0.0479242116,0.1071617948,False,2025-02-21,20.3339786527,57070250.0000422,Earth
1998 ve31,21.07,,,0.1902,1.051,21.95,3092201,1998 ve31,21.05,0.1638909515,0.3664713084,False,2025-05-07,13.6710822964,19376101.02536732,Earth
1999 ra32,21.33,,,0.0904,1.026,10.52,3023012,1999 ra32,21.32,0.1447288051,0.3236234466,False,2025-03-22,6.1703881071,13740417.79846676,Earth
2000 ah205,22.6,,,0.407,1.148,2.59,3092248,2000 ah205,22.6,0.0802703167,0.1794898848,False,2025-05-26,27.1426660284,73755116.68486328,Earth
2000 em26,22.51,,,0.4667,0.8172,3.84,3092253,2000 em26,22.51,0.0836671502,0.1870854353,False,2025-03-05,28.6792622453,73425700.02091396,Earth
2000 hb24,23.7,,,0.4304,0.8151,2.67,3036363,2000 hb24,23.7,0.0483676488,0.1081533507,False,2025-04-28,16.4024415337,27126275.15130565,Earth
2000 hp40,24.02,,,0.16,1.291,14.14,3092261,2000 hp40,24.02,0.0417402433,0.0933340215,False,2025-04-28,13.1234619456,58127216.561731935,Earth
2000 uk11,25.3,,,0.2485,0.8833,0.79,3054373,2000 uk11,25.3,0.0231502122,0.0517654482,False,2025-02-13,9.8773447779,46432132.76609064,Earth
2001 bx15,21.75,,,0.5913,1.924,12.15,3092284,2001 bx15,21.75,0.1187284988,0.2654849942,False,2025-02-03,13.6018707409,18251012.380811423,Earth
2002 al31,24.5,,,0.2473,1.176,7.61,3102771,2002 al31,24.5,0.0334622374,0.0748238376,False,2025-01-13,11.5990472098,21591690.62870449,Earth
2002 bm5,22.51,,,0.2989,1.545,14.67,3102783,2002 bm5,22.51,0.0836671502,0.1870854353,False,2025-01-25,12.3499082823,44000505.00410164,Earth
2002 cc14,24.8,,,0.403,0.8205,12.65,3114026,2002 cc14,24.8,0.0291443905,0.0651688382,False,2025-02-04,12.6879328422,3221481.327919149,Earth
2002 em7,24.4,,,0.3634,0.9209,1.55,3117427,2002 em7,24.4,0.0350392641,0.0783501764,False,2025-03-13,7.4591046663,17211967.61402811,Earth
2002 gq,26.3,,,0.3752,0.7684,10.61,3120863,2002 gq,26.3,0.0146067964,0.0326617897,False,2025-05-16,17.3108294688,48918482.306941606,Earth
2002 tx59,23.9,,,0.1464,1.225,13.04,3137735,2002 tx59,23.9,0.04411182,0.0986370281,False,2025-04-20,7.5048307469,43325421.95164933,Earth
2003 af23,21.01,,,0.4259,0.8744,23.23,3146499,2003 af23,21.01,0.1669379118,0.3732845187,True,2025-01-18,29.9754103913,71586233.27187541,Earth
2003 fy6,22.61,,,0.5821,0.7299,6.6,3151655,2003 fy6,22.61,0.0799015081,0.1786652037,False,2025-05-10,23.4284759733,42896640.79670858,Earth
2003 gj21,22.9,,,0.4008,1.811,7.05,3152316,2003 gj21,22.9,0.0699125232,0.1563291544,False,2025-04-14,15.3880124551,59053024.91127468,Earth
2003 gq22,21.34,,,0.1814,0.8724,17.02,3152317,2003 gq22,21.34,0.1434019235,0.320656449,True,2025-04-07,8.8976882542,7500278.15455981,Earth
2003 hm,22.11,,,0.2696,0.8138,26.27,3153509,2003 hm,22.11,0.100590039,0.2249261651,False,2025-04-20,14.1411920688,11234721.812273776,Earth
2003 ht42,24.8,,,0.2617,0.8147,4.87,3153530,2003 ht42,24.8,0.0291443905,0.0651688382,False,2025-03-24,13.4593523451,39809222.19838141,Earth
2003 wp7,23.45,,,0.6454,2.306,0.99,3167343,2003 wp7,23.45,0.0542693946,0.1213500554,False,2025-01-10,11.7118088658,22656870.442572538,Earth
2004 bw18,22.5,,,0.2531,1.373,5.11,3172333,2004 bw18,22.5,0.0840533402,0.1879489824,False,2025-06-03,6.2534104709,69924864.9263214,Earth
2004 fc18,24.17,,,0.6474,1.903,9.79,3177230,2004 fc18,24.17,0.0389542616,0.087104377,False,2025-04-04,18.4545978029,7033760.802273477,Earth
2004 hq1,23.47,,,0.2707,1.11,4.42,3180147,2004 hq1,23.47,0.0537718498,0.1202375114,False,2025-05-02,15.2742817,38591185.13596095,Earth
2004 jp12,23.6,,,0.7769,1.905,8.23,3182181,2004 jp12,23.6,0.0506471459,0.1132504611,False,2025-05-11,26.6551760153,7943557.078438852,Earth
2004 xg,24.16,,,0.2987,0.8365,1.2,3263232,2004 xg,24.16,0.0391340663,0.0875064325,False,2025-02-16,9.0854327148,5971407.206325253,Earth
2005 gr33,22.14,,,0.3844,0.7784,27.99,3275978,2005 gr33,22.14,0.0992098919,0.2218400624,False,2025-04-05,25.5043250099,60596016.52213683,Earth
2005 gd60,21.7,,,0.3743,1.33,9.9,3276397,2005 gd60,21.7,0.1214940408,0.2716689341,True,2025-04-17,21.9338338418,56689685.62986264,Earth
2005 jr5,22.1,,,0.1538,1.158,31.04,3277704,2005 jr5,22.1,0.1010543415,0.2259643771,False,2025-04-30,21.7898707212,56074469.954528406,Earth
2005 ju81,21.79,,,0.2774,1.116,17.29,3278078,2005 ju81,21.79,0.1165614595,0.2606393469,True,2025-05-15,19.0568167503,49057849.23845146,Earth
2005 ka,24.7,,,0.2128,0.8415,2.97,3278402,2005 ka,24.7,0.0305179233,0.0682401509,False,2025-04-08,10.2958946173,30606735.330159727,Earth
2005 sl,22.4,,,0.298,1.127,6.12,3290880,2005 sl,22.4,0.0880146521,0.1968067451,False,2025-03-31,9.5550308062,5510062.604308419,Earth
2005 tc51,27.3,,,0.3057,1.008,5.64,3293961,2005 tc51,27.3,0.0092162655,0.0206081961,False,2025-05-25,16.5354356772,38902200.15487604,Earth
2005 xy4,23.5,,,0.5984,1.056,1.91,3306408,2005 xy4,23.5,0.0530340723,0.1185877909,False,2025-03-06,33.8412002657,67544959.53582045,Earth
2005 yu128,25.26,,,0.3219,0.7716,7.71,3309857,2005 yu128,25.26,0.0235806068,0.0527278398,False,2025-01-14,7.0328161372,7315337.907450606,Earth
2006 ba,27.6,,,0.2178,1.12,3.55,3313157,2006 ba,27.6,0.0080270317,0.0179489885,False,2025-01-12,10.6819175304,22092069.2494283,Earth
2006 bc8,25.1,,,0.4314,1.227,6.89,3313733,2006 bc8,25.1,0.0253837029,0.0567596853,False,2025-01-30,17.4920200063,21833713.772817664,Earth
2006 du63,22.48,,,0.7294,2.818,14.49,3324685,2006 du63,22.48,0.0848310762,0.189688053,False,2025-03-07,16.709719246,17087569.654827483,Earth
2006 gu2,27.8,,,0.256,1.08,3.38,3329605,2006 gu2,27.8,0.0073207399,0.016369672,False,2025-04-25,21.8451742674,73671137.69153053,Earth
2006 kk89,22.66,,,0.184,1.036,17.94,3335046,2006 kk89,22.66,0.0780827277,0.1745982871,False,2025-05-30,9.6873015503,21366545.65483704,Earth
2006 ot9,20.01,,,0.182,1.124,14.56,3337734,2006 ot9,20.02,0.263363131,0.5888978636,False,2025-01-30,8.8196122053,9365762.381717063,Earth
2006 sc,25.1,,,0.3501,1.113,10.43,3342249,2006 sc,25.1,0.0253837029,0.0567596853,False,2025-02-22,18.8058470477,34736492.54117186,Earth
2006 se6,22.97,,,0.3456,0.8051,4.82,3342322,2006 se6,22.97,0.0676947481,0.1513700585,False,2025-01-26,14.0614715644,62393709.517077215,Earth
2006 tl,23.9,,,0.3975,0.9404,11.61,3348144,2006 tl,23.9,0.04411182,0.0986370281,False,2025-05-04,11.2761095741,46661265.675097175,Earth
2006 vx2,24.78,,,0.2907,0.9344,9.81,3358222,2006 vx2,24.78,0.0294140602,0.0657718381,False,2025-02-03,9.3297750145,48256790.29838534,Earth
2006 xp4,23.9,,,0.2143,0.8724,0.52,3363697,2006 xp4,23.9,0.04411182,0.0986370281,False,2025-02-09,13.6688641603,37192843.505387686,Earth
2007 dw,20.47,,,0.5245,1.079,38.69,3368493,2007 dw,20.47,0.2140695897,0.4786741544,False,2025-02-23,26.0223945893,27220020.596702,Earth
2007 ek,29.3,,,0.2723,1.126,1.21,3370278,2007 ek,29.3,0.0036690614,0.0082042706,False,2025-02-18,22.2032872016,68757446.62198243,Earth
2007 ea26,20.86,,,0.633,2.731,6.14,3370495,2007 ea26,20.86,0.1788771952,0.3999815682,False,2025-01-15,11.0685256598,21123091.54725817,Earth
2007 ee26,26.1,,,0.2418,1.246,1.03,3370497,2007 ee26,26.1,0.0160160338,0.0358129403,False,2025-03-23,19.1878407474,72221520.49342753,Earth
2007 ej88,23.61,,,0.7815,2.348,1.91,3371138,2007 ej88,23.61,0.0504144434,0.1127301225,False,2025-03-27,25.8512521409,7264722.261004817,Earth
2007 gw4,20.6,,,0.2907,1.077,29.48,3373919,2007 gw4,20.6,0.2016299194,0.4508582062,False,2025-05-01,17.0188222379,70447281.3927066,Earth
2007 vz137,21.6,,,0.5855,1.704,5.22,3394072,2007 vz137,21.6,0.1272198785,0.2844722965,True,2025-04-02,27.6306260962,54315588.85537762,Earth
2007 xb23,27.1,,,0.0415,1.027,8.59,3398066,2007 xb23,27.1,0.0101054342,0.0225964377,False,2025-05-27,4.8211300272,13507942.349451872,Earth
2007 yn56,23.0,,,0.3309,1.079,11.51,3398649,2007 yn56,23.0,0.0667659413,0.1492931834,False,2025-03-31,9.1667362824,71833036.0679351,Earth
2008 au28,25.03,,,0.5355,1.996,4.23,3399548,2008 au28,25.03,0.0262153087,0.0586192124,False,2025-01-09,10.7616544527,4811939.983897414,Earth
2008 dl4,26.9,,,0.1228,0.9297,3.2,3404165,2008 dl4,26.9,0.0110803882,0.0247765013,False,2025-02-17,5.9130631483,13372373.109469844,Earth
2008 ep,24.31,,,0.2595,0.8426,15.84,3404530,2008 ep,24.31,0.0365220357,0.0816657545,False,2025-03-02,10.0777491143,9303846.875120612,Earth
2008 fw6,21.0,,,0.6385,2.262,6.48,3407680,2008 fw6,21.0,0.1677084622,0.3750075218,True,2025-04-09,26.7882567653,65299890.65493427,Earth
2008 gr3,24.9,,,0.3118,1.532,1.36,3408585,2008 gr3,24.9,0.0278326768,0.0622357573,False,2025-03-07,4.5673527948,68547729.6614883,Earth
2008 gc110,22.3,,,0.1541,1.091,13.98,3409433,2008 gc110,22.3,0.0921626549,0.2060819612,False,2025-02-22,6.9995784115,51174999.44906549,Earth
2008 ka6,23.6,,,0.3386,1.191,5.98,3412890,2008 ka6,23.6,0.0506471459,0.1132504611,False,2025-05-26,23.0803798041,66413495.86779323,Earth
2008 st,27.1,,,0.1262,0.9633,1.87,3427460,2008 st,27.1,0.0101054342,0.0225964377,False,2025-05-20,2.5334067007,5184852.797021148,Earth
2008 ub95,24.8,,,0.2686,0.9894,3.26,3435023,2008 ub95,24.8,0.0291443905,0.0651688382,False,2025-02-20,22.0516156932,65360740.66566144,Earth
2008 xs,27.1,,,0.213,1.274,3.35,3441092,2008 xs,27.1,0.0101054342,0.0225964377,False,2025-04-12,7.4606411002,71776455.29618177,Earth
2008 yn2,26.3,,,0.2204,1.036,3.52,3441846,2008 yn2,26.3,0.0146067964,0.0326617897,False,2025-04-14,5.755252531,36398147.531204574,Earth
2009 bo58,21.87,,,0.4498,0.8363,26.25,3445079,2009 bo58,21.87,0.1123453177,0.2512117673,False,2025-01-24,20.7132427233,28772488.99327206,Earth
2009 de1,24.55,,,0.6119,1.73,0.95,3447919,2009 de1,24.55,0.0327005439,0.0731206391,False,2025-02-26,18.2947751197,2508262.038457094,Earth
2009 ep2,21.61,,,0.3562,0.927,27.7,3449591,2009 ep2,21.61,0.1266353563,0.283165265,True,2025-03-07,14.1876554636,53107150.03717572,Earth
