full_name,H,albedo,diameter_sigma,e,a,i,id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,close_approach_date,relative_velocity_km_per_s,miss_distance_km,orbiting_body
2024 yz4,21.73,,,0.8582,2.005,5.05,54509629,2024 yz4,21.73,0.1198270801,0.2679414966,False,2025-01-07,27.6437185619,19239009.47746017,Earth
2024 yd5,26.27,,,0.5488,2.237,0.75,54509633,2024 yd5,26.27,0.0148099972,0.0331161605,False,2025-01-10,7.1901886102,5778839.442537933,Earth
2024 yq5,25.5,,,0.3281,1.499,5.55,54509642,2024 yq5,25.5,0.0211132445,0.0472106499,False,2025-01-19,5.0085894484,6722166.989199357,Earth
2024 yx5,25.75,,,0.4245,1.555,6.86,54510154,2024 yx5,25.75,0.0188171989,0.042076536,False,2025-01-14,10.6254505459,4462631.336053547,Earth
2024 yy5,27.0,,,0.0817,1.039,1.96,54510155,2024 yy5,27.0,0.0105816886,0.023661375,False,2025-01-26,2.4347075978,4781448.796436144,Earth
2024 yd6,24.62,,,0.3531,1.617,12.91,54510159,2024 yd6,24.62,0.0316632126,0.0708010957,False,2025-01-14,7.8893429873,15073459.554870768,Earth
2024 ye6,22.0,,,0.48,2.223,5.97,54510160,2024 ye6,22.0,0.1058168859,0.2366137501,False,2025-02-23,4.7628318554,25867879.14168276,Earth
2024 yg6,24.34,,,0.158,1.248,12.8,54510164,2024 yg6,24.34,0.0360209346,0.0805452583,False,2025-01-15,7.237356434,13202264.339267543,Earth
2024 yx6,25.03,,,0.5305,2.317,7.36,54510171,2024 yx6,25.03,0.0262153087,0.0586192124,False,2025-01-15,6.6120555309,15848450.228341317,Earth
2024 yb7,23.21,,,0.362,1.707,9.32,54511074,2024 yb7,23.21,0.0606114923,0.1355314169,False,2025-03-10,4.48401435,29457538.809335884,Earth
2024 yf7,25.76,,,0.5317,1.66,3.69,54511078,2024 yf7,25.76,0.0187307418,0.0418832119,False,2025-01-02,13.5690330333,1938313.915635721,Earth
2024 yl7,25.39,,,0.5924,2.48,2.71,54511083,2024 yl7,25.39,0.0222103282,0.0496638037,False,2025-01-04,7.2627755797,4873440.221766533,Earth
2024 yo7,25.11,,,0.1679,1.122,11.01,54511085,2024 yo7,25.11,0.0252670754,0.0564988982,False,2025-01-14,6.6190536067,14088267.283646436,Earth
2024 ym8,21.03,,,0.7521,1.231,17.49,54511092,2024 ym8,21.03,0.1654074158,0.3698622257,False,2025-01-22,30.6649200548,27476023.257852428,Earth
2024 yq8,22.12,,,0.6327,2.665,6.98,54511095,2024 yq8,22.12,0.1001278698,0.2238927232,False,2025-02-16,11.4062155925,9534390.851076143,Earth
2024 yr8,24.6,,,0.5857,1.888,4.8,54511096,2024 yr8,24.6,0.0319561887,0.0714562102,False,2025-01-02,16.2042977054,8089871.903503406,Earth
2024 yy8,28.73,,,0.3575,1.544,2.03,54511954,2024 yy8,28.73,0.004770402,0.0106669431,False,2025-01-01,4.7580939652,1290408.727100352,Earth
2024 yz8,23.68,,,0.6163,2.745,35.55,54511956,2024 yz8,23.68,0.0488151892,0.1091540813,False,2025-01-01,21.4762910009,10850468.268861296,Earth
2024 yc9,26.96,,,0.449,1.691,4.12,54511958,2024 yc9,26.96,0.0107784169,0.0241012728,False,2025-01-03,8.6924012752,1306415.340155464,Earth
2024 yj9,27.91,,,0.4947,1.581,11.48,54511964,2024 yj9,27.91,0.0069591304,0.0155610887,False,2025-01-01,14.1845754203,1264885.131389663,Earth
2024 yr9,25.74,,,0.5134,1.155,27.07,54512607,2024 yr9,25.74,0.0189040552,0.0422707525,False,2025-01-02,20.7411443242,3348567.216768578,Earth
2024 ys9,27.82,,,0.5948,1.176,19.28,54512608,2024 ys9,27.82,0.0072536229,0.016219594,False,2025-01-02,21.2159080739,1582435.722210165,Earth
2024 yw9,26.33,,,0.4892,1.864,0.37,54512612,2024 yw9,26.33,0.0144063837,0.0322136532,False,2025-01-09,7.8247946491,1041282.960355529,Earth
2024 yx9,26.86,,,0.5663,2.1,4.78,54512613,2024 yx9,26.86,0.011286388,0.0252371308,False,2025-01-04,11.2058479342,2195623.733054634,Earth
2024 yz9,25.17,,,0.2591,1.062,1.16,54512615,2024 yz9,25.17,0.0245784775,0.0549591464,False,2025-01-07,8.5400305616,3623223.789841424,Earth
2024 ya10,26.1,,,0.5409,2.099,14.32,54512616,2024 ya10,26.1,0.0160160338,0.0358129403,False,2025-01-08,11.9510765125,3391681.981133206,Earth
2024 yb10,26.75,,,0.1215,1.144,3.61,54512617,2024 yb10,26.75,0.0118728499,0.0265484994,False,2025-01-18,2.5383491458,5757968.235865735,Earth
2024 yv10,26.18,,,0.2317,1.303,8.99,54513028,2024 yv10,26.18,0.0154367182,0.0345175513,False,2025-01-01,5.8480710628,8500461.014985574,Earth
2024 yw12,23.6,,,0.5866,2.48,17.52,54513036,2024 yw12,23.6,0.0506471459,0.1132504611,False,2025-01-07,13.6327134848,14880072.12939393,Earth
2024 yz12,26.54,,,0.3147,0.8244,6.45,54513040,2024 yz12,26.54,0.0130784109,0.0292442157,False,2025-01-12,8.5484805862,1207393.518045064,Earth
2024 yd13,25.9,,,0.1225,0.9321,12.45,54513044,2024 yd13,25.9,0.0175612318,0.0392681082,False,2025-01-09,7.266967644,5602847.855776176,Earth
2024 yg13,27.02,,,0.5479,1.993,8.87,54513046,2024 yg13,27.02,0.0104846751,0.0234444462,False,2025-01-04,11.7976038512,740234.749931319,Earth
2024 yl17,22.29,,,0.4804,2.226,24.67,54514036,2024 yl17,22.29,0.0925880583,0.2070331923,False,2025-01-28,14.2918326423,27498476.35728137,Earth
2024 yy21,26.87,,,0.3516,1.543,1.49,54514247,2024 yy21,26.87,0.0112345318,0.0251211767,False,2025-01-06,5.2272161774,5560416.813516596,Earth
2024 ya26,24.0,,,0.3421,1.558,3.22,54514891,2024 ya26,24.0,0.0421264611,0.0941976306,False,2025-02-11,4.0163521282,10163957.180803312,Earth
2024 yb26,26.52,,,0.159,0.9109,8.83,54514890,2024 yb26,26.52,0.0131994239,0.0295148091,False,2025-01-12,5.4955902224,8799819.128513673,Earth
2025 ab,27.13,,,0.3337,0.9541,9.97,54513047,2025 ab,27.13,0.0099667824,0.022286403,False,2025-01-03,11.5602531925,153127.347506697,Earth
2025 ac,29.02,,,0.1759,1.166,2.61,54513049,2025 ac,29.02,0.0041740243,0.0093334022,False,2025-01-02,4.2789783774,140221.389663927,Earth
2025 ad,23.86,,,0.0999,1.242,23.98,54513653,2025 ad,23.86,0.04493192,0.1004708274,False,2025-01-08,12.4978664864,21238989.53500284,Earth
2025 ae,25.74,,,0.4936,0.8118,22.84,54513657,2025 ae,25.74,0.0189040552,0.0422707525,False,2025-01-03,16.7458318545,6288669.776366644,Earth
2025 af,25.05,,,0.5759,2.346,3.98,54513658,2025 af,25.05,0.0259749653,0.0580817882,False,2025-01-17,8.8138391336,7582061.844029684,Earth
2025 ah,24.27,,,0.6745,1.683,4.18,54513661,2025 ah,24.27,0.037201031,0.0831840342,False,2025-01-15,19.6309269825,11873808.565407533,Earth
2025 ak,23.77,,,0.0534,1.17,11.12,54513663,2025 ak,23.77,0.0468333233,0.1047224945,False,2025-01-22,5.9481628099,20617437.17813136,Earth
2025 al,24.59,,,0.3134,1.102,10.42,54513665,2025 al,24.59,0.0321036917,0.0717860371,False,2025-01-25,10.0374642707,12024179.766636712,Earth
2025 ao,28.75,,,0.3908,1.377,0.29,54514029,2025 ao,28.75,0.0047266667,0.010569148,False,2025-01-03,9.8164056072,459327.199940949,Earth
2025 as,24.4,,,0.4946,1.778,3.89,54514034,2025 as,24.4,0.0350392641,0.0783501764,False,2025-01-14,9.24001285,6177886.150842808,Earth
2025 at,25.72,,,0.1842,1.295,15.49,54514035,2025 at,25.72,0.0190789723,0.0426618789,False,2025-01-08,8.4146669385,11856715.03406815,Earth
2025 ae1,22.22,,,0.7573,2.327,12.92,54514246,2025 ae1,22.22,0.0956213733,0.2138158908,False,2025-01-13,21.0410257838,22691127.158019576,Earth
2025 af1,27.75,,,0.3543,1.534,1.13,54514248,2025 af1,27.75,0.0074912618,0.0167509707,False,2025-01-11,4.8633185571,1788509.286419594,Earth
2025 ag1,29.49,,,0.0916,1.068,2.84,54514249,2025 ag1,29.49,0.0033616692,0.0075169209,False,2025-01-01,2.645140072,671017.850013351,Earth
2025 aj1,23.53,,,0.3637,1.695,17.0,54514251,2025 aj1,23.53,0.0523064176,0.1169607054,False,2025-01-05,11.2885158668,23538786.747137703,Earth
2025 al1,22.5,,,0.4037,1.688,28.84,54514253,2025 al1,22.5,0.0840533402,0.1879489824,False,2025-01-04,17.650680702,12979369.048088731,Earth
2025 ao1,27.94,,,0.5457,2.137,3.63,54514672,2025 ao1,27.94,0.0068636476,0.0153475826,False,2025-01-02,8.1109076864,527693.187174357,Earth
2025 au1,24.35,,,0.335,0.8659,4.68,54514677,2025 au1,24.35,0.0358554334,0.0801751865,False,2025-01-27,7.7921688167,12659435.617515508,Earth
2025 ax1,26.85,,,0.6605,2.457,3.98,54514893,2025 ax1,26.85,0.0113384836,0.0253536201,False,2025-01-03,14.6021228615,1091513.33244692,Earth
2025 ay1,23.18,,,0.282,1.282,26.58,54514895,2025 ay1,23.18,0.0614546821,0.1374168468,False,2025-01-05,16.7177568867,13787514.424296966,Earth
2025 az1,27.48,,,0.157,1.164,25.41,54514896,2025 az1,27.48,0.0084831076,0.0189688053,False,2025-01-04,13.8758628752,2609350.809457923,Earth
2025 aa2,26.09,,,0.6392,2.368,2.08,54514894,2025 aa2,26.09,0.0160899605,0.0359782453,False,2025-01-02,13.522628461,1245828.801196944,Earth
2025 ac2,25.33,,,0.4165,1.693,4.98,54514899,2025 ac2,25.33,0.0228325794,0.0510551996,False,2025-01-04,6.3310086637,3601259.905366959,Earth
2025 ae2,24.68,,,0.5053,1.953,9.71,54514901,2025 ae2,24.68,0.0308003021,0.0688715693,False,2025-01-02,9.8631484964,7292137.013148898,Earth
